event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1998-11-18,1998,Battles,Armed clash,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,0,Exchange of fire between Ethiopian and Eritrean troops,11
1998-11-22,1998,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Mt. Asimba,14.4479,39.6158,0,Ethiopian military attacks Eritrean military positions,11
1998-12-15,1998,Violence against civilians,Attack,Sidama,Sidama,Darara,Bilate,6.7833,38.1,2,Two Eritreans who had been illegally detained died under suspicious circumstances in Ethiopian detention camp,12
1998-12-28,1998,Explosions/Remote violence,Remote explosive/landmine/IED,Dire Dawa,Dire Dawa urban,Gende Kore,Dire Dawa,9.6008,41.8499,1,"Man dies while detonating bomb in Dire Dawa, many civilians injured",12
1999-01-11,1999,Violence against civilians,Attack,Somali,Liban,Filtu,Afar Dogut,4.4833,41.0333,15,Eritrean military accused of killing Ethiopian Afars who refuse to join their army,1
1999-01-15,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,62,OLF claims victory in battle with Ethiopian military,1
1999-01-17,1999,Battles,Armed clash,Oromia,Borena,Moyale,Moyale,3.5391,39.049,18,OLF and Ethiopian forces battle in northern Kenya,1
1999-02-02,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-05,1999,Battles,Armed clash,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-06,1999,Battles,Armed clash,Tigray,South Eastern Tigray,Saharti,Geza,13.3933,39.1689,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-07,1999,Violence against civilians,Attack,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-08,1999,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Alitena,14.5264,39.5671,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-08,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-10,1999,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Ethiopian forces shell civilian areas,2
1999-02-11,1999,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,4,Eritrean forces shell civilian village,2
1999-02-11,1999,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,12,Ethiopian forces shell civilian areas,2
1999-02-12,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-02-14,1999,Explosions/Remote violence,Shelling/artillery/missile attack,Afar,Awsi-Zone 1,Elidar,Bure,12.6042,42.2718,3,Eritrean shoots down Ethiopian fighter jet,2
1999-02-14,1999,Explosions/Remote violence,Remote explosive/landmine/IED,Afar,Awsi-Zone 1,Elidar,Bure,12.6042,42.2718,0,Ethiopia bombs civilian targets,2
1999-02-14,1999,Battles,Armed clash,Tigray,South Eastern Tigray,Saharti,Geza,13.3933,39.1689,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",2
1999-03-09,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,7,OLF claims victory in battle with Ethiopian military,3
1999-03-09,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,42,OLF claims victory in battle with Ethiopian military,3
1999-03-10,1999,Violence against civilians,Attack,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,0,OLF accuses military of harassing and torturing civilians,3
1999-03-13,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
1999-03-14,1999,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,923,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties. Fatalities coded using commonly referenced number of 70,000 (REUTERS, US Dept of Justice, etc). 70,000 fatalities split across 112 known events.",3
